id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,liveness,popularity
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.05,0.12,78
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.82,0.08,65
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.15,0.30,72
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.90,0.05,48
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.02,0.18,85
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.95,0.06,35
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.30,0.45,42
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.60,0.10,70
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.88,0.07,58
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.10,0.22,63
11,Iron Requiem,Blackveil,metal,aggressive,0.95,168,0.30,0.55,0.08,0.20,0.42,55
12,Island Breeze,Rootz Collective,reggae,happy,0.65,92,0.83,0.76,0.45,0.12,0.35,50
13,Moonlit Sonata,Clara Veil,classical,melancholic,0.30,68,0.40,0.32,0.95,0.97,0.15,30
14,Velvet Groove,Jada Monroe,r&b,romantic,0.58,96,0.78,0.72,0.38,0.08,0.14,74
15,Neon Pulse,Synthkid,electronic,energetic,0.88,140,0.70,0.85,0.06,0.72,0.20,68
16,Dusty Trail,Hank Bridger,country,nostalgic,0.52,104,0.63,0.60,0.74,0.15,0.38,40
17,Street Cipher,K-Lyric,hip-hop,confident,0.80,98,0.72,0.80,0.12,0.04,0.25,82
18,Fuego Lento,Sol y Sombra,latin,passionate,0.74,108,0.82,0.84,0.30,0.10,0.28,60
